Streckennummer:;Anfangkm:;Endekm:;Streckenname:
1812;85.973;117.691;Seesen. W 16 - Herzberg (Harz). W 23
1813;70;5.993;Herzberg (Harz). W 51 - Siebertal. G-Bahn
1814;26.594;41.485;(DB-Grenze) Rhumspringe - Herzberg (Harz). W 24. G-Bahn
1815;216;15.507;Scharzfeld. W 9 - St Andreasberg West
1816;76.832;77.265;Abzw Edesheim. Str 1732. W 103 - Str 1733. W 106
1817;77.405;78.128;Abzw Edesheim. Str 1733. W 110 - Str 1732. W 113
1820;-614;81.974;Elze (Han). W 9 - Löhne (Westf)
1821;-180;24.057;Bodenburg. W 22 - Elze (Han). W 3
1822;647;31.302;Bad Gandersheim. W 4 - Großdüngen. W 26
1823;43.674;75.232;Derneburg (Han). W 3 - Seesen. Gl 6. G-Bahn
1824;-999;4.400;Einbeck. W 56 - Einbeck Mitte. G-Bahn
1900;3.361;38.815;Braunschweig Hbf - Helmstedt
1901;0;47.298;Braunschweig Hbf - Bad Harzburg
1902;0;32.259;Braunschweig Hbf - Gifhorn. W 65
1903;-11;13.389;Braunschweig Nordkurve Bbf. W 7 - Braunschw.Rbf. Stw 16.W 305. G-Bahn
1904;-28;1.050;Braunschweig Celler Straße. W 24 - Braunschweig-Lehndorf. G-Bahn
1905;0;100;ehemalige Strecke - Braunschweig West - Braunschweig Halzhof
1906;1.220;2.000;Braunschweig Nord - Braunschweig Ost
1910;52.599;62.844;Groß Gleidingen. W 5 - Braunschweig Rbf. KWM 390. G-Bahn
1911;57.449;65.044;Braunschwg.Hbf.Abzw Gabelung.W 521 - Abzw Buchhorst. W 571. G-Bahn
1912;275;6.195;Braunschweig Rbf. W 308 - Abzw Okerbrücke. W 537. G-Bahn
1913;208;3.412;Braunschweig Rbf - Abzw Lünischteich. W 52. G-Bahn
1914;0;4.871;Abzw Schmiedekamp. W 565 - Braunschweig Rbf. W 15. G-Bahn
1915;61.883;63.257;Braunschweig Rbf. Stw 6 (Gl 194) - Abzw Helmstedter Straße. W 412. G-Bahn
1920;5.731;27.340;Abzw Leiferde (Braunschweig). W 502 - Salzgitter Bad. W 64
1921;884;14.625;Groß Gleidingen Ostkopf. W 30 - Wolfenbüttel. W 6. G-Bahn
1922;-175;1.795;Groß Gleidingen. W 8 - Beddingen Bbf G-Bahn
1923;12.139;38.081;Salzgitter-Drütte. W 3 - Derneburg (Han)
1924;0;3.371;Salzgitter-Drütte (Glan) - Sg-Thiede. G-Bahn
1925;8.285;10.991;Abzw Hoheweg - Salzgitter-Drütte. W 47. G-Bahn
1930;78.522;95.389;Neuekrug-Hahausen. W 310 - Goslar
1931;83;15.640;Langelsheim. W 52 - Lautenthal
1932;130;12.805;Vienenburg. W 511 - Goslar
1933;120.600;125.055;(RB-Grenze) - Vienenburg. W 501
1934;23.220;39.571;(DB-Grenze) Eckertal - Oker. W 69
1935;135.180;142.360;Grauhof - Langelsheim
1940;-300;150.467;Helmstedt - Holzminden
1941;0;100;ehemalige Strecke - (DB-Grenze) Offleben - Schöningen
1942;13.177;65.970;Wolfenbüttel. W 3 - Oschersleben. W 46
1943;0;32.098;Jerxheim - Nienhagen (b Halberstadt). W 2
1944;14.850;17.726;(DB-Grenze) - Helmstedt
1945;-7;17.539;Helmstedt - Grasleben (RB-Grenze). G-Bahn
1950;168.938;242.908;(DB-Grenze) Vorsfelde - Lehrte. W 403
1951;27.040;29.600;Velpke (Braunschw) - Oebisfelde
1952;-22;28.009;Schandelah - Abzw Grafhorst (Vorsfelde). W 1. G-Bahn
1953;1.361;24.252;Braunschweig-Gliesmarode. W 3 - Fallersleben. W 91
1954;13.379;14.800;Lehre (Braunschw) - Brunsrode-Flechtorf.G-Bahn
1955;-1.161;1.523;Fallersleben. W 79 - Werkbf VW Wolfsburg (Glan). G-Bahn
1956;0;12.097;Weddel - Lehre (Planungstitel)
1960;0;97.941;Uelzen - Langwedel. W 48
1961;71.154;107.470;(DB-Grenze) Nienbergen - Uelzen
1962;-1.112;55.485;Gifhorn. W 3 - Wieren. W 23
1963;-360;41.425;Uelzen. W 118 - Abzw Dannenberg West. W 2. G-Bahn
2000;2.620;45.245;Lünen Hbf. W 442 - Münster (Westf) Hbf
2001;0;100;ehemalige Strecke - Dülmen. Stw Dn - Stw Dmf
2002;-196;48.180;Haltern (Westf).W 110 --Wesel-- - Büderich. G-Bahn
2003;53.160;84.910;Menzelen West (Tief) - Geldern Ost (DB-Grenze)
2010;-740;13.232;Mecklenbeck. W 713 - Sudmühle. W 914. G-Bahn
2011;-20;3.039;Abzw Lechtenberg. W 585 - Kanal. W 599. G-Bahn
2013;-215;50.200;Münster (Westf) Hbf - Rheda-Wiedenbrück. W 61
2014;2.719;59.030;Nevinghof. W 471 - Gronau (Westf). (DB-Grenze)
2020;-46;22.001;Ochtrup - Rheine. W 56. G-Bahn
2021;0;4.389;Rheine. Stw Rs. W 6 - Stw Rn. W 205. G-Bahn
2022;0;100;ehemalige Strecke - Rheine. Stw Rs - Stw Rgf
2023;0;1.527;Hauenhorst  - Rheine. Stw Rgf. W 43. G-Bahn
2024;0;3.513;Abzw Emsbrücke. W 142 - Rheine. Stw Rs. W 3. G-Bahn
2025;0;1.000;Hauenhorst - Rheine. Stw Rgf. G-Bahn
2026;7;21.782;Salzbergen. W 18 - Bad Bentheim (DB-Grenze)
2100;6;96.195;Dortmund Hbf - Gronau (Westf). W 22
2101;39;2.059;Dortmund-Eving. W 105 - Dortmund-Obereving. G-Bahn
2102;24;2.016;Dortmund-Obereving. W 36 - Do-Kirchderne. W 101. G-Bahn
2103;165.137;218.430;Dortmund Hbf - Soest
2104;-730;720;Dortmund-Obereving - Do-Lindenhorst (Glan). G-Bahn
2105;-29;2.372;Dortmund-Obereving. - Do..Zeche Fü.Hardenbg.(Glan).G-Bahn
2106;119.972;123.777;Dortmund Hbf. W 255 - Abzw Körne. W 103
2110;85;3.757;Dortmund Süd. W 44 - Dortmund Ost. G-Bahn
2111;649;3.281;Dortmund Ost - Dortmund-Eving. W 228. G-Bahn
2112;0;35.747;Welver - Dortmund Süd. W 32
2113;0;10.250;Dortmund-Hörde - Schwerte (Ruhr)
2120;1.865;7.045;Abzw Flm (Do-Lütgendortm.Gbf).W 601 - Abzw Schnettkerbr.. W 201.G-Bahn
2121;5.567;6.506;Dortmunderfeld. W 348 - W 288. G-Bahn
2122;28;2.367;Dortmund-Dorstfeld. W 035 - Do-Huckarde Süd. W 716. G-Bahn
2123;1.649;3.974;Abzw Buschstraße. W 801 - Abzw Deusen. W 1. G-Bahn
2124;0;100;ehemalige Strecke - Do-Dorstfeld. Gbf - Dortmunderfeld
2125;11;11.604;Abzw Stockumer Straße. W 201 - Dortmund Hbf
2126;65.745;69.500;Dortmund-Dorstfeld. W 36 - Dortmund Süd. W 32. S-Bahn
